,Unnamed: 0,category,name,ingredients,method,garnish,diffords,diffords_url,method_esp
0,0,Contemporary Classics,Bellini,"100 ml Prosecco,50 ml White Peach Puree","Pour peach puree into the mixing glass with ice, add the Prosecco wine. Stir gently and pour in a chilled flute glass.  Note: PUCCINI - Fresh Mandarin Orange Juice; ROSSINI - Fresh Strawberry Puree; TINTORETTO - Fresh Pomegranate Juice.",,Bellini,/cocktails/recipe/202/bellini-diffords-recipe,"Vierta el puré de melocotón en el vaso mezclador con hielo, añada el vino Prosecco. Remover suavemente y servir en una copa flauta fría.  Nota: PUCCINI - Zumo fresco de mandarina; ROSSINI - Puré fresco de fresa; TINTORETTO - Zumo fresco de granada."
1,1,Contemporary Classics,Black Russian,"50 ml Vodka,20 ml Coffee Liqueur",Pour the ingredients into the old fashioned glass filled with ice cubes. Stir gently.  Note: WHITE RUSSIAN - Float fresh cream on the top and stir in slowly.,,Black Russian,/cocktails/recipe/236/black-russian,Vierta los ingredientes en el vaso old fashioned lleno de cubitos de hielo. Remover suavemente.  Nota: RUSO BLANCO - Poner nata fresca encima y remover lentamente.
2,2,Contemporary Classics,Bloody Mary,"45 ml Vodka,90 ml Tomato Juice,15 ml Fresh Lemon Juice,2 dashes Worcestershire Sauce,Tabasco,Celery Salt,Pepper (Up to taste)","Stir gently all the ingredients in a mixing glass with ice, pour into rocks glass. Note: If requested served with ice, pour into highball glass.","Celery, Lemon Wedge (Optional)",Bloody Mary,/cocktails/recipe/2307/bloody-mary-diffords-recipe,"Remover suavemente todos los ingredientes en un vaso mezclador con hielo y verter en un vaso con hielo. Nota: Si se desea servir con hielo, verter en un vaso highball."
3,3,Contemporary Classics,Caipirinha,"60 ml Cachaça,1 Lime cut into small wedges,4 Teaspoons White Cane Sugar",Place lime and sugar into a double old fashioned glass and muddle gently. Fill the glass with cracked ice and add Cachaça. Stir gently to involve ingredients. Note: CAIPIROSKA - Instead of Cachaça use Vodka;,,Caipirinha,/cocktails/recipe/354/caipirinha,"Poner la lima y el azúcar en un vaso old fashioned doble y remover suavemente. Llene el vaso con hielo picado y añada la cachaça. Remover suavemente para mezclar los ingredientes. Nota: CAIPIROSKA - En lugar de cachaça, utilice vodka;"
4,4,Contemporary Classics,Champagne Cocktail,"90 ml Chilled Champagne,10 ml Cognac,2 dashes Angostura bitters,Few drops of Grand Marnier (optional),1 sugar cube","Place the sugar cube with 2 dashes of bitters in a large Champagne glass, add the cognac. Pour gently chilled Champagne.",Garnish with orange zest and maraschino cherry.,Champagne Cocktail,/cocktails/recipe/393/champagne-cocktail,"Ponga el terrón de azúcar con 2 chorritos de amargo en una copa grande de champán, añada el coñac. Vierta el champán ligeramente frío."
6,6,Contemporary Classics,Cosmopolitan,"40 ml Vodka Citron,15 ml Cointreau,15 ml Fresh Lime Juice,30 ml Cranberry Juice",Add all ingredients into a cocktail shaker filled with ice. Shake well and strain into a large cocktail glass.,Garnish with a lemon twist.,Cosmopolitan,/cocktails/recipe/472/cosmopolitan-cocktail-diffords-recipe,Añada todos los ingredientes en una coctelera llena de hielo. Agitar bien y colar en una copa de cóctel grande.
7,7,Contemporary Classics,Cuba Libre,"50 ml White Rum,120 ml Coca Cola,10 ml Fresh Lime Juice",Build all ingredients in a highball glass filled with ice.,Garnish with lime wedge.,Cuba Libre,/cocktails/recipe/495/cuba-libre,Poner todos los ingredientes en un vaso highball lleno de hielo.
8,8,Contemporary Classics,French 75,"30 ml Gin,15 ml Fresh Lemon Juice,15 ml Sugar Syrup,60 ml Champagne","Pour all the ingredients, except Champagne, into a shaker. Shake well and strain into a Champagne flute. Top up with Champagne. Stir gently.",,French 75,/cocktails/recipe/790/french-75-cocktail,"Vierta todos los ingredientes, excepto el champán, en una coctelera. Agitar bien y colar en una copa de champán. Rellenar con champán. Remover suavemente."
9,9,Contemporary Classics,French Connection,"35 ml Cognac,35 ml Amaretto",Pour all ingredients directly into an old fashioned glass filled with ice cubes. Stir gently.,,French Connection,/cocktails/recipe/2415/french-connection,Vierta todos los ingredientes directamente en un vaso old fashioned lleno de cubitos de hielo. Remover suavemente.
10,10,Contemporary Classics,Golden Dream,"20 ml Galliano,20 ml Triple Sec,20 ml Fresh Orange Juice,10 ml Fresh Cream",Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.,,Golden Dream,/cocktails/recipe/875/golden-dream,Vierta todos los ingredientes en una coctelera llena de hielo. Agitar enérgicamente durante unos segundos. Colar en una copa de cóctel fría.
